image,blood_group
A+\cluster_0_1001.BMP,A+
A+\cluster_0_1005.BMP,A+
A+\cluster_0_1009.BMP,A+
A+\cluster_0_1026.BMP,A+
A+\cluster_0_1029.BMP,A+
A+\cluster_0_1036.BMP,A+
A+\cluster_0_1041.BMP,A+
A+\cluster_0_1045.BMP,A+
A+\cluster_0_1063.BMP,A+
A+\cluster_0_1075.BMP,A+
A+\cluster_0_1082.BMP,A+
A+\cluster_0_1087.BMP,A+
A+\cluster_0_1089.BMP,A+
A+\cluster_0_1118.BMP,A+
A+\cluster_0_1123.BMP,A+
A+\cluster_0_1126.BMP,A+
A+\cluster_0_1145.BMP,A+
A+\cluster_0_1153.BMP,A+
A+\cluster_0_116.BMP,A+
A+\cluster_0_1181.BMP,A+
A+\cluster_0_1183.BMP,A+
A+\cluster_0_1196.BMP,A+
A+\cluster_0_1210.BMP,A+
A+\cluster_0_1214.BMP,A+
A+\cluster_0_1217.BMP,A+
A+\cluster_0_1236.BMP,A+
A+\cluster_0_1247.BMP,A+
A+\cluster_0_1258.BMP,A+
A+\cluster_0_127.BMP,A+
A+\cluster_0_1293.BMP,A+
A+\cluster_0_1303.BMP,A+
A+\cluster_0_1309.BMP,A+
A+\cluster_0_1328.BMP,A+
A+\cluster_0_1347.BMP,A+
A+\cluster_0_1361.BMP,A+
A+\cluster_0_1367.BMP,A+
A+\cluster_0_1382.BMP,A+
A+\cluster_0_1388.BMP,A+
A+\cluster_0_1389.BMP,A+
A+\cluster_0_1399.BMP,A+
A+\cluster_0_1434.BMP,A+
A+\cluster_0_1438.BMP,A+
A+\cluster_0_1445.BMP,A+
A+\cluster_0_1471.BMP,A+
A+\cluster_0_1473.BMP,A+
A+\cluster_0_149.BMP,A+
A+\cluster_0_1505.BMP,A+
A+\cluster_0_1514.BMP,A+
A+\cluster_0_1531.BMP,A+
A+\cluster_0_1542.BMP,A+
A+\cluster_0_1548.BMP,A+
A+\cluster_0_1551.BMP,A+
A+\cluster_0_1554.BMP,A+
A+\cluster_0_1560.BMP,A+
A+\cluster_0_1578.BMP,A+
A+\cluster_0_16.BMP,A+
A+\cluster_0_1608.BMP,A+
A+\cluster_0_162.BMP,A+
A+\cluster_0_1668.BMP,A+
A+\cluster_0_1669.BMP,A+
A+\cluster_0_167.BMP,A+
A+\cluster_0_1687.BMP,A+
A+\cluster_0_1688.BMP,A+
A+\cluster_0_1691.BMP,A+
A+\cluster_0_1696.BMP,A+
A+\cluster_0_1699.BMP,A+
A+\cluster_0_1702.BMP,A+
A+\cluster_0_1715.BMP,A+
A+\cluster_0_1720.BMP,A+
A+\cluster_0_1730.BMP,A+
A+\cluster_0_1732.BMP,A+
A+\cluster_0_1745.BMP,A+
A+\cluster_0_1761.BMP,A+
A+\cluster_0_1766.BMP,A+
A+\cluster_0_1774.BMP,A+
A+\cluster_0_1800.BMP,A+
A+\cluster_0_1803.BMP,A+
A+\cluster_0_1815.BMP,A+
A+\cluster_0_1816.BMP,A+
A+\cluster_0_1825.BMP,A+
A+\cluster_0_1834.BMP,A+
A+\cluster_0_1835.BMP,A+
A+\cluster_0_1843.BMP,A+
A+\cluster_0_1848.BMP,A+
A+\cluster_0_185.BMP,A+
A+\cluster_0_1851.BMP,A+
A+\cluster_0_1859.BMP,A+
A+\cluster_0_1862.BMP,A+
A+\cluster_0_187.BMP,A+
A+\cluster_0_1870.BMP,A+
A+\cluster_0_1874.BMP,A+
A+\cluster_0_1876.BMP,A+
A+\cluster_0_1879.BMP,A+
A+\cluster_0_1880.BMP,A+
A+\cluster_0_1883.BMP,A+
A+\cluster_0_1884.BMP,A+
A+\cluster_0_1899.BMP,A+
A+\cluster_0_1955.BMP,A+
A+\cluster_0_1956.BMP,A+
A+\cluster_0_1966.BMP,A+
A+\cluster_0_2008.BMP,A+
A+\cluster_0_2012.BMP,A+
A+\cluster_0_2014.BMP,A+
A+\cluster_0_2026.BMP,A+
A+\cluster_0_2027.BMP,A+
A+\cluster_0_2038.BMP,A+
A+\cluster_0_205.BMP,A+
A+\cluster_0_2059.BMP,A+
A+\cluster_0_2067.BMP,A+
A+\cluster_0_2076.BMP,A+
A+\cluster_0_2092.BMP,A+
A+\cluster_0_2100.BMP,A+
A+\cluster_0_211.BMP,A+
A+\cluster_0_2114.BMP,A+
A+\cluster_0_2120.BMP,A+
A+\cluster_0_2128.BMP,A+
A+\cluster_0_2135.BMP,A+
A+\cluster_0_2142.BMP,A+
A+\cluster_0_2146.BMP,A+
A+\cluster_0_2164.BMP,A+
A+\cluster_0_2179.BMP,A+
A+\cluster_0_218.BMP,A+
A+\cluster_0_2197.BMP,A+
A+\cluster_0_2202.BMP,A+
A+\cluster_0_2215.BMP,A+
A+\cluster_0_2217.BMP,A+
A+\cluster_0_2220.BMP,A+
A+\cluster_0_2221.BMP,A+
A+\cluster_0_2239.BMP,A+
A+\cluster_0_2240.BMP,A+
A+\cluster_0_2250.BMP,A+
A+\cluster_0_2256.BMP,A+
A+\cluster_0_2268.BMP,A+
A+\cluster_0_2269.BMP,A+
A+\cluster_0_2295.BMP,A+
A+\cluster_0_2308.BMP,A+
A+\cluster_0_2322.BMP,A+
A+\cluster_0_2323.BMP,A+
A+\cluster_0_2335.BMP,A+
A+\cluster_0_2358.BMP,A+
A+\cluster_0_2362.BMP,A+
A+\cluster_0_2374.BMP,A+
A+\cluster_0_2383.BMP,A+
A+\cluster_0_2394.BMP,A+
A+\cluster_0_2399.BMP,A+
A+\cluster_0_2409.BMP,A+
A+\cluster_0_2418.BMP,A+
A+\cluster_0_2434.BMP,A+
